Unnamed: 0,company,woKey,woK,ey,woLine,mfg,mfgName,equipTypeDescription,model,woDate,installDate,woComment,woComment1,woComment2,woComment3,woComment4,itemNo,mfgCode,mfgDescription,ItemDescription,qtyInvoiced,netPrice,woComment4_clean,woComment3_clean,woComment2_clean,woComment1_clean,woComment_clean,combined_technician_comments
502396,WHA,WHA715246,WHA,715246,2,CLE,CLEVELAND RANGE,KETTLE (ELECTRIC),KET-12TW/HTS,1/29/2019,1/29/2019,KETTLE #1 NOT HEATING ENOUGH TO BOIL,,1/29/19 FOUND POTENTIOMETER NOT WORKING CORRECTLY AND SHUTTING HEAT ON AND OFF IF IF KNOB IS SLIGHTLY TAPPED. REPLACED POTENTIOMETER AND TESTED OPERATION. UNIT IS WORKING PROPERLY AT THIS TIME.,,,*MISC ELECTRIC,MISC,Miscellaneous,"TERMINALS, TAPE, SOLDER, WIRE TIES,ETC",1,9,,,find potentiometer not work correctly shut heat knob slightly tap replace potentiometer test operation unit work properly time,,kettle not heat boil,find potentiometer not work correctly shut heat knob slightly tap replace potentiometer test operation unit work properly time
573963,WHA,WHA779704,WHA,779704,4,HOS,HOSHIZAKI OF AMERICA,REACH IN REFRIGERATOR,UR36A,7/25/2019,,UNIT LEAKING WATER - REFRIG,8/5/2019-NEED T-STAT AND CONTROLLER PUT IN STOCK/1700- OR CAN BE RETURNED.(RLC).,"7/25/2019-FOUND FAULTY T-STAT. WILL HAVE TO CALL HOSHISAKI TOMORROW TO GET PART NUMBERS (RLC). 7/30/2019-ORDERED T-STAT, AND CONTROL MODULE.(RLC) 8/5/2019-CALIBRATED T-STAT. UNIT IS OPERATING CORRECTLY AT THIS TIME.(RLC).",,,MBT17-09589,MBT,MASTER-BILT PRODUCTS,CONDENSATE PAN SS,1,300.48,,,find faulty tstat hoshisaki tomorrow number rlc order tstat control modulerlc calibrate tstat unit operate correctly timerlc,need tstat controller stock returnedrlc,unit leak water refrig,need tstat controller stock returnedrlc find faulty tstat hoshisaki tomorrow number rlc order tstat control modulerlc calibrate tstat unit operate correctly timerlc
165163,WHA,WHA1161208,WHA,1161208,3,HAT,HATCO,HEAT LAMP,GRAH-96D,7/14/2022,7/20/2022,Kitchen - BOH/HOH > QA/Pass Through > Equipment > Heat Lamp 2 Zone 2 Cook QA/Pass Through  Not heating/holding temp Serial Number: NA Error Code(s): na Additional Information: UNIT NOT WORKING - HOT SIDE,,7-15-22 ARRIVED TO CHECK HEAT LAMP ON ZONE 2 AND FOUND ITS NOT WORKING BECAUSE THEY HAVE IT TURNED OFF TURNED ON AND UNIT WORKS PROPERLY THEN CHECKED ALL OF THE LAMPS AND FOUND MIDDLE FRONT ON SERVER SIDE NOT CUTTING OFF WHEN KNOB IS TURNED OFF.   NEED TO MAKE THIS A FIRST CALL BEFORE THEY START SERVING FOOD TO MAKE REPAIR.   Hatr02.19.017.00  07/18/22 CSB  HAD TO REMOVE CRISP AND HOLD STATION TO ACCESS CORRECT SWITCH “A”. LOCATED BREAKER. REMOVED AND REPLACED INFINITE SWITCH. TESTED OPERATION. CONFIRMED HEAT LAMP IS OPERATING CORRECTLY AND IS READY FOR SERVICE.,,,*ADMIN FEE,MISC,Miscellaneous,Administrative Fee,1,35,,,arrive check heat lamp zone find not work turn turn unit work properly check lamp find middle server not cut knob turn need start serve food repair hatr csb remove crisp hold station access correct switch locate breaker remove replace infinite switch test operation confirm heat lamp operate correctly ready service,,kitchen bohhoh qapass equipment heat lamp zone cook qapass not heatingholde temp serial number na error code na additional information unit not work hot,arrive check heat lamp zone find not work turn turn unit work properly check lamp find middle server not cut knob turn need start serve food repair hatr csb remove crisp hold station access correct switch locate breaker remove replace infinite switch test operation confirm heat lamp operate correctly ready service
735075,WHA,WHA929446,WHA,929446,5,AJA,AJ ANTUNES,ROTARY TOASTER,VCT-2,10/28/2020,10/28/2020,***NON WARRANTY***  TOASTER IS NOT WORKING  UNIT NOT WORKING - HOT SIDE. BUSINESS HOURS 6AM - 10PM.,,"9/24/20-UPON ARRIVAL, CHECKED IN WITH MANAGER AND WAS SHOWN TWO TOASTERS THAT HAVE THE SAME TYPE OF PROBLEM.  CHECKED UNIT 0011 AND FOUND DRIVE SPROCKETS, DRIVE CHAIN, MOTORS AND AN AXIEL FAN NEEDS TO BE REPLACED.  10/08/20-WITH CORRECT PARTS IN HAND, REMOVED AND INSTALLED DRIVE SPROCKETS, DRIVE CHAIN, MOTORS AND AXIEL FAN.  TESTED UNIT AND FOUND IT IS OPERATING PROPERLY.  CALL COMPLETE.",,,ROU7001115,ROU,A J ANTUNES,IDLER SPROCKET ASSEMBLY,2,37.12,,,arrival check manager show toaster type problem check unit find drive sprocket drive chain motor axiel fan need replace correct part hand remove instal drive sprocket drive chain motor axiel fan test unit find operate properly complete,,non warranty toaster not work unit not work hot business hour pm,arrival check manager show toaster type problem check unit find drive sprocket drive chain motor axiel fan need replace correct part hand remove instal drive sprocket drive chain motor axiel fan test unit find operate properly complete
518704,WHA,WHA729716,WHA,729716,6,DEL,DELFIELD,PASS THRU COOLER,SARPT1,3/11/2019,3/14/2019,COOLER NOT COOLING - TEMP RISES ABOVE 70*. SITTING AT 80* NOW. COMPRESSOR KICKS ON BUT DOES NOT COOL (AT),***MUST SCHEDULE WITH TERRI/CAFE MANAGER 770-736-4575*** DEL PASS THRU COOLER NOT COOLING - TEMP RISES ABOVE 70*. SITTING AT 80* NOW. COMPRESSOR KICKS ON BUT DOES NOT COOL. POSSIBLE LEAK **TECH TO GET DATA PLATE INFO/PICS****TECH TO CALL FROM SITE FOR AUTHORIZATION NUMBER**,"COME TO LOCATION CHECK THE  STAN UP  COOLER  UNIT RUN  NO COLD  SCENE  LOW PRESSURE CHECK  IN EVAPORATOR  FOUND  L SMALL LEAK ON  TXV VALVE  PARTS  WILL ORDER AND RETURN 3/14 CAME TO REPAIR UNIT LEAK CHECK WITH 250 PSI NITROGEN VACUUM AND CHARGE FREON, CHECK OPERATION READY FOR SERVICE",,,1261678,126,SUPPLY ITEMS,REFRIGERANT R290 (14.11 OZ SINGLE USE),1,48.95,,,come location check stan cool unit run cold scene low pressure check evaporator find l small leak txv valve part order return come repair unit leak check psi nitrogen vacuum charge freon check operation ready service,schedule terricafe manager del pass cooler not cool temp rise sit compressor kick not cool possible leak tech data plate infopicstech site authorization number,cooler not cool temp rise sit compressor kick not cool,schedule terricafe manager del pass cooler not cool temp rise sit compressor kick not cool possible leak tech data plate infopicstech site authorization number come location check stan cool unit run cold scene low pressure check evaporator find l small leak txv valve part order return come repair unit leak check psi nitrogen vacuum charge freon check operation ready service
209917,WHA,WHA1206015,WHA,1206015,1,MON,MONTAGUE OVEN,FRYER (GAS),RF-40,10/31/2022,10/31/2022,FRYER IS STILL NOT WORKING,,ARRIVED AT LOCATION AND I ASKED THE CHEF WHICH FRYER IS IT THAT IS STILL NOT WORKING AND HE SHOWED ME THE FRYER I JUST WORKED ON LAST WEEK AND HE TOLD ME THAT. THE PILOT WOULD NOT LIGHT AND STAY LIT SO ON ARRIVAL I LIT THE PILOT AND IT. STAYED LIT I THEN SET THE THERMOSTAT TO 350 DEGREES AND THE GAS VALVE OPENED AND THE BURNERS LIT FRYER IN PREP KITCHEN IS IN SERVICE AT THIS TIME   NOTE: THERE WAS NO ISSUE WITH THIS FRYER PILOT LIT 1ST TRY AND STAYED LIT AND OPERATED PROPERLY  ***PLEASE SEE FILE ROOM PICTURES*** OF LIT PILOT AND OF BURNERS LIGHTING  ***THIS IS NOT A CALL BACK***  ASK ROBERT IF ANY QUESTIONS,,,*PARKING/GATE FEE,MISC,Miscellaneous,PARKING/GATE FEE,1,10,,,arrive location ask chef fryer not work show fryer work week tell pilot not light stay light arrival light pilot stay light set thermostat degree gas valve open burner light fryer prep kitchen service time note issue fryer pilot light st try stay light operate properly file room picture light pilot burner light not ask robert question,,fryer not work,arrive location ask chef fryer not work show fryer work week tell pilot not light stay light arrival light pilot stay light set thermostat degree gas valve open burner light fryer prep kitchen service time note issue fryer pilot light st try stay light operate properly file room picture light pilot burner light not ask robert question
784465,WHA,WHA975851,WHA,975851,5,BEV,BEVERAGE AIR,FREEZER OTHER,WTR48AHC-23,3/23/2021,4/20/2021,"REACH IN NOT HOLDING TEMP - NOT OVERSTOCKED, CLEANED COILS AND STILL NOT COMING DOWN IN TEMP. 45 DEGREES",,"3/30 ARRIVED ONSITE TO TROUBLESHOOT A REACH IN COOLER NOT KEEPING TEMP. THE UNIT WAS AT 50F ON ARRIVAL. REMOVED THE PRODUCT AND THE EVAPORATOR COVER. CHECKED OPERATION OF THE EVAP FAN AND CHECKED OK. NOTICED EXCESSIVE ICE BUILD UP ON THE CAP TUBE ABOUT 2” BEFORE ENTERING THE EVAP AND A BALL OF ICE AT THE EVAP WHERE THE CAP TUBE ENTERS EVAP. REMOVED THE BACK COVER AND CHECKED OPERATION OF THE CONDENSER FAN, CHECKED OK. CALLED BEV AIR TECH SUPPORT AND SPOKE TO JARED. UNPLUGGED THE UNIT AND DEFROSTED THE ICE. REMOVED THE COVER ON THE COMPRESSOR AND OHMED OUT WINDINGS WITH JARED. THE COMPRESSOR WINDINGS ARE NOT CORRECT AND THE COMPRESSOR HAS DAMAGE PER JARED. JARED ALSO MENTIONED THE CAP TUBE IS RESTRICTED AND WILL NEED TO BE REPLACED WITH THE COMPRESSOR AND FILTER DRYER. OBTAINED ALL PART NUMBERS FROM JARED. WILL ORDER THE PARTS AND RETURN TO COMPLETE. WILL QUOTE REPAIR PER MOD.  4/20 ARRIVED ON SITE TO REPLACE THE COMPRESSOR, CAP TUBE AND FILTER DRIER ON THE UNIT. THE UNIT WAS ON AND STOCKED AT ARRIVAL. SPOKE TO MOD, SHE EMPTIED THE UNIT. REMOVED THE BACK PANEL AND INSTALLED A PIERCING VALVE. REMOVED THE REFRIGERANT. CUT OUT THE OLD COMPRESSOR AND FILTER DRIER. INSTALLED THE NEW COMPRESSOR AND FILTER DRIER. ADDED ACCESS PORTS. HAD TO SWEDGE THE COPPER TO FIT. BRAZED IN ALL LINES. REMOVED THE OLD CAP TUBE AND INSTALLED THE NEW. WRAPPED THE SUCTION LINE WITH FOAM TAPE TO INSULATE. BRAZED IN THE NEW CAP TUBE. PRESSURE TESTED WITH NITROGEN AND BUBBLES TO CHECK FOR LEAKS. NO LEAKS FOUND. PURGED NITROGEN AND STARTED VACUUM. PULLED DEEP VACUUM TO 500 MICRONS. CLOSED OFF GAUGES AND ALLOWED UNIT TO SIT IN A VACUUM. UNIT STAYED IN A VACUUM. SET UP SCALE AND CHARGED SYSTEM WITH 2.8OZ R290. TURNED UNIT ON AND ALLOWED TO COOL TO SETPOINT OF 35F. WATCHED CYCLE TO MAINTAIN TEMP. THE UNIT IS IN SERVICE AND OPERATING AS DESIGNED.",,,1261678,126,SUPPLY ITEMS,REFRIGERANT R290 (14.11 OZ SINGLE USE),1,62.38,,,arrive onsite troubleshoot reach cooler not keep temp unit f arrival remove product evaporator cover check operation evap fan check ok noticed excessive ice build cap tube enter evap ball ice evap cap tube enter evap remove cover check operation condenser fan check ok call bev air tech support speak jared unplug unit defrost ice remove cover compressor ohme winding jared compressor winding not correct compressor damage jared jared mention cap tube restrict need replace compressor filter dryer obtain number jared order part return complete quote repair mod arrive site replace compressor cap tube filter drier unit unit stock arrival speak mod empty unit remove panel instal pierce valve remove refrigerant cut old compressor filter drier instal new compressor filter drier add access port swedge copper fit braze line remove old cap tube instal new wrap suction line foam tape insulate braze new cap tube pressure test nitrogen bubble check leak leak find purge nitrogen start vacuum pull deep vacuum micron close gauge allow unit sit vacuum unit stay vacuum set scale charge system oz r turn unit allow cool setpoint f watch cycle maintain temp unit service operate design,,reach not hold temp not overstock clean coil not come temp degree,arrive onsite troubleshoot reach cooler not keep temp unit f arrival remove product evaporator cover check operation evap fan check ok noticed excessive ice build cap tube enter evap ball ice evap cap tube enter evap remove cover check operation condenser fan check ok call bev air tech support speak jared unplug unit defrost ice remove cover compressor ohme winding jared compressor winding not correct compressor damage jared jared mention cap tube restrict need replace compressor filter dryer obtain number jared order part return complete quote repair mod arrive site replace compressor cap tube filter drier unit unit stock arrival speak mod empty unit remove panel instal pierce valve remove refrigerant cut old compressor filter drier instal new compressor filter drier add access port swedge copper fit braze line remove old cap tube instal new wrap suction line foam tape insulate braze new cap tube pressure test nitrogen bubble check leak leak find purge nitrogen start vacuum pull deep vacuum micron close gauge allow unit sit vacuum unit stay vacuum set scale charge system oz r turn unit allow cool setpoint f watch cycle maintain temp unit service operate design
429804,WHA,WHA644107,WHA,644107,1,MISC,Miscellaneous,WALK IN COOLER,EQP6-55-2,6/25/2018,6/25/2018,UNIT NOT COOLING - REFRIG   WALK IN IS AT 40 DEG.    CONTACT IS ELIZABETH   476-3621  6/26/18,6\\\\\\\\25\\\\\\\\18 TMB PROVIDE SERVICE PARTS AND LABOR TO DETERMINE THAT WALK-IN COOLER NOT GETTING COLDER THEN APPROX 50 DEGREES. FOUND THAT TSTAT THINKING IT IS APPROX 4 DEGREES AND NOT CALLING. REPLACED TSTAT REASSEMBLED AND TESTED. UNIT SIGHT GLASS FLASHING.ADDED REFRIGERANT UNIT OPERATING PROPERLY,"PROVIDE SERVICE PARTS AND LABOR TO DETERMINE THAT WALK-IN COOLER NOT GETING BELOW 50. FOUND TSTAT THINKS IT IS APPROX 4 DEGREES IN BOX AND NOT CALLING FOR COOLING. REPLACED TSTAT REASSEMBLED AND TESTED.SITE GLASS FLASHING, ADDED REFRIGERANT AND TEST. UNIT OPERATING PROPERLY AT THIS TIME",,,1211015,121,REFRIGERATION ITEMS,TEMP CONTROL (WHITE ROGERS) 1609-101,1,131,,,provide service part labor determine walkin cooler not get find tstat think approx degree box not call cool replace tstat reassemble testedsite glass flash add refrigerant test unit operate properly time,tmb provide service part labor determine walkin cooler not get cold approx degree find tstat think approx degree not call replace tstat reassemble test unit sight glass flashingadde refrigerant unit operate properly,unit not cool refrig walk deg contact elizabeth,tmb provide service part labor determine walkin cooler not get cold approx degree find tstat think approx degree not call replace tstat reassemble test unit sight glass flashingadde refrigerant unit operate properly provide service part labor determine walkin cooler not get find tstat think approx degree box not call cool replace tstat reassemble testedsite glass flash add refrigerant test unit operate properly time
202275,WHA,WHA1198287,WHA,1198287,2,TRU,TRUE,PREP TABLE,TPP-44,10/11/2022,10/12/2022,UNIT NOT WORKING - REFRIG  COOLER NOT WORKING MAKE LINE I THINK SEE MRG FOR UNIT,,"FOUND UNIT NOT COOLING, AFTER INSPECTION FOUND UNIT COMPRESSOR NOT COMING ON DUE TO START COMPONENT MALFUNCTION , REPLACED WITH 3IN 1. UNIT ALSO WAS LOW IN REFRIGERANT, FILLED TO PROPER LEVEL, HAD TO CLEAN CONDENSER. UNIT IS COOLING AND READY FOR SERVICE.  THANK YOU FOR CHOOSING WHALEY FOODSERVICE.",,,1211110,121,REFRIGERATION ITEMS,"START CAPACITOR, SOLID STATE 3 N 1 RELAY-OVERLOAD (SUPCO RC0210), 1/5 to 1/2 HP",1,49.03,,,find unit not cool inspection find unit compressor not come start component malfunction replace unit low refrigerant fill proper level clean condenser unit cool ready service thank choose whaley foodservice,,unit not work refrig cooler not work line think mrg unit,find unit not cool inspection find unit compressor not come start component malfunction replace unit low refrigerant fill proper level clean condenser unit cool ready service thank choose whaley foodservice
349185,WHA,WHA569011,WHA,569011,8,RAN,RANDELL,PREP TABLE,51368WPR,10/19/2017,11/14/2017,RANDALL REACH IN COOLER NOT COOLING (MB) 205444,"UNIT NOT WORKING - REFRIG - RANDALL REACH IN COOLER NOT COOLING **MFG SERVICE REQUEST** 10.27.2017 TRB CHECKED UNIT FOUND START COMPONENTS BURNT UP, INSTALLED 3N1 STARTED COMPRESSOR DRAWING 7.1 AMPS WILL CALL RANDELL MONDAY AND SEE IF THEY WANT TO SEND START COMPONENTS ARE COMPRESSOR. 10.30,2017 TRB TALK TO FACTORY THEY WANT ME TO PICK UP START COMPONENTS LOCALLY AND TRY HAVE PICS IN FILE ROOM SHOULD BE ABLE TO PICK UP AT UNITED, 11.2.2017 TRB WENT TO UNITED TO PICK UP PARTS THEY HAD TO ORDER WILL CALL WHEN THEY COME IN PO NUMBER 295755 11.7.2017 TRB INSTALLED NEW CAPACITOR AND RELAY UNIT RAN FOR ABOUT TWO MINUTES WENT OUT ON OVERLOAD, NEEDS NEW COMPRESSOR PART NUMBER ( RFCMP1603) GOT PART NUMBER FROM FACTORY TALK TO JOE IN PARTS 11.10.2017 TRB WENT TO INSTALL COMPRESSOR CUSTOMER SAID THEY WHERE TOO BUSY CAN DO IT IN EARLY AM ON MONDAY OR TUESDAY. 11.14.2017 TRB/ JXZ INSTALLED NEW COMPRESSOR DRIER ACESS FITTINGS, UNIT CAME ON WENT OUT ON OVER TEMP RAN TEN MIN BEFORE TRIPPING COMPRESSOR CAME BACK ON RAN COOLED BOX DOWN TURNED RAIL ON COOLED DOWN WHEN BOX CAME ON TRIPPED OVERTEMP, FOUND TXV HUNTING 10 TO 40 DEGREES SUPPER HEAT NEED TO ORDER TXV VALVE PART NUMBER  RFVLV414, ALSO NEED SOLINOID VALVE PART NUMBER  RFSOL9801CALLED UNITED REFRIGERANT THEY DID NOT HAVE PARTS. 11/16/17 CJP. RECOVERED REFRIGERANT. REMOVED DRAWERS AND DRAWER FRAMES TO ACCESS EVAPORATOR. REMOVED OLD AND BRAZED IN NEW PUMP DOWN SOLENOID, TXV, AND FILTER/DRYER. LEAKED CHECKED SYSTEM WITH NITROGEN AT 200 PSI FOR 45 MINUTES. NO LEAKS. EVACUATED SYSTEM FOR 1 HOUR TO 450 MICRONS. RECHARGED SYSTEM WITH 16 OUNCES 404A REFRIGERANT AS PER DATA TAG. SYSTEM PRESSURES ARE 225/48. UNIT SATISFIED AT SET POINT OF 37 DEGREES SEVERAL TIMES. UNIT IS OPERATING NORMALLY, PLACED BACK IN SERVICE.  ***11/16/17   CLT","10.27, CHECKED UNIT FOUND START COMPONENTS BURNT UP, INSTALLED 3N1 STARTED COMPRESSOR DRAWING 7.1 AMPS WILL CALL RANDELL MONDAY AND SEE IF THEY WANT TO SEND START COMPONENTS ARE COMPRESSOR.  10.30, TALKED TO MFG, TOLD TO PICK UP START COMPONENTS LOCALLY, PARTS HAVE TO BE ORDERED. 11.7, REPLACED CAPACITOR AND RELAY, UNIT RAN FOR ABOUT TWO MINUTES, WENT OUT ON OVERLOAD, NEEDS NEW COMPRESSOR, SPOKE WITH JOE IN PARTS. 11.10, WENT TO INSTALL COMPRESSOR, CUSTOMER SAID THEY WHERE TOO BUSY, CAN DO IT IN EARLY AM ON TUESDAY.  11.14, REPLACED COMPRESSOR, DRIER, AND INSTALLED ACESS FITTINGS, UNIT CAME ON WENT OUT ON OVER TEMP, RAN TEN MIN BEFORE TRIPPING, COMPRESSOR CAME BACK ON, RAN, COOLED BOX DOWN, TURNED RAIL ON, COOLED DOWN, WHEN BOX CAME ON TRIPPED OVERTEMP, FOUND TXV HUNTING 10 TO 40 DEGREES SUPER HEAT NEED TO ORDER TXV VALVE PART NUMBER  RFVLV414, ALSO NEED SOLINOID VALVE PART NUMBER  RFSOL9801, WILL ORDER PARTS.  11/16, RECOVERED REFRIGERANT. REMOVED DRAWERS AND DRAWER FRAMES TO ACCESS EVAPORATOR. REMOVED OLD AND BRAZED IN NEW PUMP DOWN SOLENOID, TXV, AND FILTER/DRYER. LEAKED CHECKED SYSTEM WITH NITROGEN AT 200 PSI FOR 45 MINUTES. NO LEAKS. EVACUATED SYSTEM FOR 1 HOUR TO 450 MICRONS. RECHARGED SYSTEM WITH 16 OUNCES 404A REFRIGERANT AS PER DATA TAG. SYSTEM PRESSURES ARE 225/48. UNIT SATISFIED AT SET POINT OF 37*F SEVERAL TIMES. UNIT IS CYCLING AT SET TEMP IN BOX AND ALONG RAIL. PLACED COOLER BACK IN SERVICE.",,,1261363,126,SUPPLY ITEMS,REFRIGERANT R404A (SOLD BY LB),3,6.6,,,check unit find start component burn instal n start compressor draw amp randell monday want send start component compressor talk mfg tell pick start component locally part order replace capacitor relay unit run minute go overload need new compressor speak joe part go install compressor customer say busy early tuesday replace compressor drier instal acess fitting unit come go temp run min trip compressor come ran cool box turn rail cool box come trip overtemp find txv hunt degree super heat need order txv valve number rfvlv need solinoid valve number rfsol order part recover refrigerant remove drawer drawer frame access evaporator remove old braze new pump solenoid txv filterdryer leak check system nitrogen psi minute leak evacuate system hour micron recharged system ounce refrigerant data tag system pressure unit satisfied set point f time unit cycle set temp box rail place cool service,unit not work refrig randall reach cool not cool mfg service request trb check unit find start component burn instal n start compressor draw amp randell monday want send start component compressor trb talk factory want pick start component locally try pic file room able pick united trb go united pick part order come po number trb instal new capacitor relay unit run minute go overload need new compressor number rfcmp get number factory talk joe part trb go install compressor customer say busy early monday tuesday trb jxz instal new compressor drier acess fitting unit come go temp run min trip compressor come ran cool box turn rail cool box come trip overtemp find txv hunt degree supper heat need order txv valve number rfvlv need solinoid valve number rfsolcalle united refrigerant not part cjp recover refrigerant remove drawer drawer frame access evaporator remove old braze new pump solenoid txv filterdryer leak check system nitrogen psi minute leak evacuate system hour micron recharged system ounce refrigerant data tag system pressure unit satisfied set point degree time unit operating normally place service clt,randall reach cool not cool mb,unit not work refrig randall reach cool not cool mfg service request trb check unit find start component burn instal n start compressor draw amp randell monday want send start component compressor trb talk factory want pick start component locally try pic file room able pick united trb go united pick part order come po number trb instal new capacitor relay unit run minute go overload need new compressor number rfcmp get number factory talk joe part trb go install compressor customer say busy early monday tuesday trb jxz instal new compressor drier acess fitting unit come go temp run min trip compressor come ran cool box turn rail cool box come trip overtemp find txv hunt degree supper heat need order txv valve number rfvlv need solinoid valve number rfsolcalle united refrigerant not part cjp recover refrigerant remove drawer drawer frame access evaporator remove old braze new pump solenoid txv filterdryer leak check system nitrogen psi minute leak evacuate system hour micron recharged system ounce refrigerant data tag system pressure unit satisfied set point degree time unit operating normally place service clt check unit find start component burn instal n start compressor draw amp randell monday want send start component compressor talk mfg tell pick start component locally part order replace capacitor relay unit run minute go overload need new compressor speak joe part go install compressor customer say busy early tuesday replace compressor drier instal acess fitting unit come go temp run min trip compressor come ran cool box turn rail cool box come trip overtemp find txv hunt degree super heat need order txv valve number rfvlv need solinoid valve number rfsol order part recover refrigerant remove drawer drawer frame access evaporator remove old braze new pump solenoid txv filterdryer leak check system nitrogen psi minute leak evacuate system hour micron recharged system ounce refrigerant data tag system pressure unit satisfied set point f time unit cycle set temp box rail place cool service
